Time,Code,Price,NewsScore
2026-04-19 01:27:22.218011,3191.T,2216.0,0
2026-04-19 01:27:25.861866,3691.T,1571.0,0
2026-04-19 01:27:29.623337,2884.T,739.0,0
2026-04-19 01:27:33.353780,1914.T,716.0,0
2026-04-19 01:27:37.125901,2003.T,1833.0,0
2026-04-19 01:28:40.895173,2158.T,856.0,0
2026-04-19 01:28:44.590273,2411.T,493.0,0
2026-04-19 01:28:48.332290,3848.T,973.0,0
2026-04-19 01:28:52.101207,1992.T,2795.0,0
2026-04-19 01:28:55.774685,2134.T,33.0,0
2026-04-19 01:28:59.660119,3191.T,2216.0,0
2026-04-19 01:29:03.271322,3691.T,1571.0,0
2026-04-19 01:29:07.043217,2884.T,739.0,0
2026-04-19 01:29:10.615437,1914.T,716.0,0
2026-04-19 01:29:14.275728,2003.T,1833.0,0
2026-04-19 01:30:18.126623,2158.T,856.0,0
2026-04-19 01:30:21.805568,2411.T,493.0,0
2026-04-19 01:30:25.536600,3848.T,973.0,0
2026-04-19 01:30:29.133609,1992.T,2795.0,0
2026-04-19 01:30:32.798568,2134.T,33.0,0
2026-04-19 01:30:36.510108,3191.T,2216.0,0
2026-04-19 01:30:40.261579,3691.T,1571.0,0
2026-04-19 01:30:44.004422,2884.T,739.0,0
2026-04-19 01:30:47.654083,1914.T,716.0,0
2026-04-19 01:30:51.449586,2003.T,1833.0,0
2026-04-19 01:31:55.166538,2158.T,856.0,0
